"","miR.195.","let.7d.","miR.876.3p","miR.204","miR.143","miR.509.3p","miR.1","miR.10b","miR.125b","miR.499.5p","miR.490.3p","miR.140.5p","miR.10b.","Candidate.24","Candidate.29.3p","Candidate.57.3p","miR.23b","miR.196b","miR.425","miR.26a.2.","miR.101.","miR.218","miR.576.3p","miR.335","miR.145.","miR.146a","miR.139.5p","miR.589","miR.218.1.","miR.424.","miR.126.","let.7b.","Candidate.20","miR.374a.","miR.188.3p","miR.135b","miR.345","miR.616.","miR.383","miR.490.5p","miR.559","miR.431.","miR.499.3p","miR.615.5p","miR.887","miR.876.5p","miR.125b.1.","miR.484","miR.31","miR.10a.","miR.769.5p","miR.532.3p","miR.100","miR.183","Candidate.14","Candidate.28","miR.183.","miR.765","Candidate.12.5p","miR.130a","miR.497.","miR.886.5p","miR.24.1.","miR.139.3p","miR.424","miR.138","miR.450a","miR.125a.5p","miR.873","miR.542.3p","miR.16.1.","Candidate.16","miR.542.5p","miR.510","Candidate.58.3p","Candidate.12.3p","miR.328","miR.200a.","Candidate.57.5p","miR.148a.","Candidate.60","miR.15b","miR.99b","miR.675","miR.122.","miR.1225.3p","miR.219.2.3p","miR.302b","miR.302c","miR.371.5p","miR.488.","miR.518d.3p","miR.617","miR.668","Candidate.38","miR.27b","miR.449b","miR.30e","Candidate.49","miR.181c.","class"
"1",0,3,0,7,6356,0,151,101,1038,1,0,30,0,0,0,0,342,9,0,1,3,8,0,130,29,4,10,0,0,6,60,15,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,15,1,0,1,4,233,0,0,7,0,0,0,144,2,2,1,0,15,1,3,135,4,1,0,0,0,0,2,0,6,0,2,0,0,101,24,2,0,0,0,0,0,0,0,0,0,0,0,537,0,35,0,1,"Normal"
"2",2,24,0,57,11170,0,71,77,5007,2,0,79,3,2,0,0,408,28,4,0,9,53,0,82,100,13,12,0,1,113,34,18,2,0,0,2,3,0,0,1,0,0,0,0,1,2,0,27,2,0,3,4,169,0,2,9,0,0,0,299,2,1,0,8,1065,2,137,426,3,39,0,0,10,0,2,1,8,0,1,0,0,127,92,1,0,0,0,0,0,0,0,0,0,0,0,421,0,50,0,0,"Normal"
"3",0,8,2,12,11547,0,352,203,2595,6,0,132,14,0,0,0,1046,75,5,1,33,31,1,217,113,21,13,0,0,3,293,27,0,5,0,0,4,0,2,0,0,0,0,0,0,3,5,57,4,8,5,8,686,0,0,3,0,0,0,656,5,0,5,2,54,0,16,431,26,4,0,0,3,0,5,0,18,0,0,0,0,375,97,1,0,0,0,0,0,0,0,0,0,0,0,1624,0,62,0,0,"Normal"
"4",4,41,12,44,51377,0,3835,2066,8036,18,0,324,5,1,0,0,1644,444,11,9,26,243,1,1954,302,1,49,0,2,109,1620,119,1,22,5,2,8,0,1,0,0,0,0,0,3,20,12,45,0,6,5,23,351,1,8,10,0,0,0,1534,20,6,5,11,1033,0,312,1048,36,54,0,0,10,0,3,0,6,0,5,0,0,1283,154,2,0,0,0,0,0,0,0,0,0,0,0,1122,0,373,0,0,"Normal"
"5",0,8,21,24,17214,0,127,69,566,3,0,102,12,0,0,0,1106,185,6,0,7,63,1,35,73,21,9,0,2,12,164,11,0,2,2,0,3,0,0,0,0,0,0,0,3,68,4,36,1,2,7,4,54,1,0,7,0,1,0,300,17,22,16,0,123,0,32,165,102,18,0,0,15,0,0,0,2,0,0,0,5,55,88,1,0,0,0,0,0,0,0,0,0,0,0,1058,1,25,0,1,"Normal"
"6",0,2,0,5,2433,0,36,20,391,0,0,53,1,0,0,0,313,44,0,0,11,6,0,36,19,2,0,0,0,11,30,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,12,0,0,1,0,0,0,44,3,0,1,0,225,0,19,79,0,10,0,0,4,0,0,0,0,0,0,0,0,13,7,1,0,0,0,0,0,0,0,0,0,0,0,98,2,7,0,0,"Normal"
"7",0,0,0,2,298,0,0,2,94,0,0,3,0,0,0,0,10,0,0,0,0,1,1,3,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,41,0,1,0,0,0,0,12,0,0,0,1,26,0,5,14,0,3,0,0,0,0,1,0,1,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,50,0,2,0,0,"Normal"
"8",1,38,0,66,22869,0,409,170,3990,8,0,157,78,1,0,0,3865,19,4,20,6,181,3,3874,508,10,7,0,0,453,2420,116,4,24,5,71,27,0,0,2,0,0,0,0,0,1,11,41,36,145,3,9,425,6,100,64,2,0,0,727,14,3,11,1,3919,0,729,503,0,162,0,0,108,0,1,0,6,4,1,2,0,837,160,9,0,0,0,0,0,0,0,0,0,0,0,1401,5,117,2,2,"Normal"
"9",0,18,0,4,1403,0,15,46,442,0,0,14,1,0,0,0,292,2,13,3,3,4,0,577,13,3,12,0,0,4,356,17,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,41,17,2,0,5,17,23,5,4,0,0,0,47,1,0,0,1,48,5,12,61,1,2,0,0,1,0,0,0,4,0,0,0,0,3621,11,0,0,0,0,0,0,0,0,0,0,0,0,245,0,27,0,0,"Normal"
"10",6,77,1,138,17153,0,674,791,5409,14,0,213,219,1,0,1,2462,226,10,9,7,93,6,2815,396,7,9,1,1,970,1354,233,3,21,10,25,11,0,0,1,0,0,0,0,0,5,2,40,16,48,4,46,429,19,22,40,3,1,0,1346,14,5,6,0,6383,0,367,606,1,126,1,0,71,1,0,0,4,10,0,1,0,1747,182,32,0,0,0,0,0,0,1,0,0,0,0,1133,0,126,1,5,"Normal"
